County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Island,2017,45-54," 4,817 "," 4,335 "," 9,152 "," 3,892 "," 3,693 ",," 7,585 "," 1,240 "," 1,144 ",," 2,384 ",80.8%,85.2%,82.9%,25.7%,26.4%,26.0%,31.9%,31.0%,31.4%
Island,2017,55-64," 7,247 "," 6,157 "," 13,405 "," 6,157 "," 5,135 ",," 11,292 "," 2,965 "," 2,388 ",," 5,353 ",85.0%,83.4%,84.2%,40.9%,38.8%,39.9%,48.2%,46.5%,47.4%
Island,2017,65-," 10,847 "," 9,833 "," 20,680 "," 10,032 "," 9,175 ",," 19,207 "," 6,260 "," 5,922 ",," 12,182 ",92.5%,93.3%,92.9%,57.7%,60.2%,58.9%,62.4%,64.5%,63.4%
Jefferson,2017,0TOTAL," 13,797 "," 13,516 "," 27,312 "," 12,785 "," 11,641 ", -   ," 24,426 "," 8,081 "," 7,148 ", -   ," 15,229 ",92.7%,86.1%,89.4%,58.6%,52.9%,55.8%,63.2%,61.4%,62.3%
Jefferson,2017,18-24, 766 , 830 ," 1,595 ", 484 , 507 ,, 991 , 112 , 114 ,, 226 ,63.2%,61.1%,62.1%,14.6%,13.7%,14.2%,23.1%,22.5%,22.8%
Jefferson,2017,25-34," 1,065 "," 1,211 "," 2,276 "," 1,123 "," 1,051 ",," 2,174 ", 353 , 270 ,, 623 ,105.5%,86.8%,95.5%,33.2%,22.3%,27.4%,31.4%,25.7%,28.7%
Jefferson,2017,35-44," 1,249 "," 1,386 "," 2,635 "," 1,129 "," 1,027 ",," 2,156 ", 480 , 428 ,, 908 ,90.4%,74.1%,81.8%,38.4%,30.9%,34.5%,42.5%,41.7%,42.1%
Jefferson,2017,45-54," 1,832 "," 1,761 "," 3,592 "," 1,479 "," 1,270 ",," 2,749 ", 817 , 653 ,," 1,470 ",80.7%,72.1%,76.5%,44.6%,37.1%,40.9%,55.2%,51.4%,53.5%
Jefferson,2017,55-64," 3,231 "," 2,819 "," 6,050 "," 3,055 "," 2,442 ",," 5,497 "," 2,065 "," 1,562 ",," 3,627 ",94.5%,86.6%,90.9%,63.9%,55.4%,59.9%,67.6%,64.0%,66.0%
Jefferson,2017,65-," 5,655 "," 5,510 "," 11,164 "," 5,515 "," 5,344 ",," 10,859 "," 4,254 "," 4,121 ",," 8,375 ",97.5%,97.0%,97.3%,75.2%,74.8%,75.0%,77.1%,77.1%,77.1%
King,2017,0TOTAL," 857,378 "," 846,540 "," 1,703,918 "," 657,495 "," 619,290 "," 2,597 "," 1,279,382 "," 285,106 "," 260,442 ", 537 ," 546,085 ",76.7%,73.2%,75.1%,33.3%,30.8%,32.0%,43.4%,42.1%,42.7%
King,2017,18-24," 95,710 "," 95,917 "," 191,628 "," 54,134 "," 51,618 ", 559 ," 106,311 "," 10,827 "," 9,622 ", 76 ," 20,525 ",56.6%,53.8%,55.5%,11.3%,10.0%,10.7%,20.0%,18.6%,19.3%
King,2017,25-34," 189,522 "," 200,980 "," 390,502 "," 127,959 "," 123,327 ", 604 ," 251,890 "," 35,546 "," 32,653 ", 122 ," 68,321 ",67.5%,61.4%,64.5%,18.8%,16.2%,17.5%,27.8%,26.5%,27.1%
King,2017,35-44," 154,192 "," 161,205 "," 315,397 "," 117,432 "," 113,462 ", 476 ," 231,370 "," 43,503 "," 40,175 ", 101 ," 83,779 ",76.2%,70.4%,73.4%,28.2%,24.9%,26.6%,37.0%,35.4%,36.2%
King,2017,45-54," 139,949 "," 144,467 "," 284,416 "," 114,706 "," 114,296 ", 358 ," 229,360 "," 50,964 "," 49,348 ", 66 ," 100,378 ",82.0%,79.1%,80.6%,36.4%,34.2%,35.3%,44.4%,43.2%,43.8%
King,2017,55-64," 128,972 "," 126,531 "," 255,504 "," 110,891 "," 106,427 ", 309 ," 217,627 "," 59,919 "," 56,376 ", 71 ," 116,366 ",86.0%,84.1%,85.2%,46.5%,44.6%,45.5%,54.0%,53.0%,53.5%
King,2017,65-," 149,032 "," 117,439 "," 266,471 "," 132,373 "," 110,160 ", 291 ," 242,824 "," 84,347 "," 72,268 ", 101 ," 156,716 ",88.8%,93.8%,91.1%,56.6%,61.5%,58.8%,63.7%,65.6%,64.5%
Kitsap,2017,0TOTAL," 103,396 "," 105,368 "," 208,764 "," 84,749 "," 79,236 ", 21 ," 164,006 "," 33,234 "," 29,877 ", 8 ," 63,119 ",82.0%,75.2%,78.6%,32.1%,28.4%,30.2%,39.2%,37.7%,38.5%
Kitsap,2017,18-24," 9,238 "," 15,315 "," 24,552 "," 6,430 "," 6,426 ", 6 ," 12,862 ", 893 , 829 , 1 ," 1,723 ",69.6%,42.0%,52.4%,9.7%,5.4%,7.0%,13.9%,12.9%,13.4%
Kitsap,2017,25-34," 13,413 "," 17,201 "," 30,614 "," 12,785 "," 12,541 ", 3 ," 25,329 "," 2,023 "," 1,810 ",," 3,833 ",95.3%,72.9%,82.7%,15.1%,10.5%,12.5%,15.8%,14.4%,15.1%
Kitsap,2017,35-44," 14,645 "," 13,592 "," 28,237 "," 12,272 "," 11,658 ", 1 ," 23,931 "," 3,153 "," 2,686 ", 1 ," 5,840 ",83.8%,85.8%,84.8%,21.5%,19.8%,20.7%,25.7%,23.0%,24.4%
Kitsap,2017,45-54," 17,562 "," 15,918 "," 33,480 "," 13,907 "," 13,132 ", 4 ," 27,043 "," 4,926 "," 4,293 ", 1 ," 9,220 ",79.2%,82.5%,80.8%,28.0%,27.0%,27.5%,35.4%,32.7%,34.1%
Kitsap,2017,55-64," 20,663 "," 19,327 "," 39,990 "," 17,243 "," 15,759 ", 3 ," 33,005 "," 8,289 "," 7,498 ", 2 ," 15,789 ",83.4%,81.5%,82.5%,40.1%,38.8%,39.5%,48.1%,47.6%,47.8%
Kitsap,2017,65-," 27,876 "," 24,015 "," 51,891 "," 22,112 "," 19,720 ", 4 ," 41,836 "," 13,950 "," 12,761 ", 3 ," 26,714 ",79.3%,82.1%,80.6%,50.0%,53.1%,51.5%,63.1%,64.7%,63.9%
Kittitas,2017,0TOTAL," 17,421 "," 18,420 "," 35,841 "," 12,577 "," 12,025 ", -   ," 24,602 "," 4,619 "," 4,259 ", -   ," 8,878 ",72.2%,65.3%,68.6%,26.5%,23.1%,24.8%,36.7%,35.4%,36.1%
Kittitas,2017,18-24," 4,918 "," 5,258 "," 10,176 "," 1,289 "," 1,263 ",," 2,552 ", 135 , 124 ,, 259 ,26.2%,24.0%,25.1%,2.7%,2.4%,2.5%,10.5%,9.8%,10.1%
Kittitas,2017,25-34," 1,956 "," 2,425 "," 4,381 "," 1,841 "," 1,795 ",," 3,636 ", 313 , 284 ,, 597 ,94.1%,74.0%,83.0%,16.0%,11.7%,13.6%,17.0%,15.8%,16.4%
Kittitas,2017,35-44," 1,820 "," 1,972 "," 3,792 "," 1,675 "," 1,603 ",," 3,278 ", 456 , 386 ,, 842 ,92.1%,81.3%,86.5%,25.1%,19.6%,22.2%,27.2%,24.1%,25.7%
Kittitas,2017,45-54," 2,326 "," 2,387 "," 4,713 "," 1,899 "," 1,823 ",," 3,722 ", 650 , 586 ,," 1,236 ",81.7%,76.4%,79.0%,27.9%,24.5%,26.2%,34.2%,32.1%,33.2%
Kittitas,2017,55-64," 2,695 "," 2,784 "," 5,479 "," 2,497 "," 2,266 ",," 4,763 "," 1,094 ", 967 ,," 2,061 ",92.7%,81.4%,86.9%,40.6%,34.7%,37.6%,43.8%,42.7%,43.3%
Kittitas,2017,65-," 3,707 "," 3,593 "," 7,300 "," 3,376 "," 3,275 ",," 6,651 "," 1,971 "," 1,912 ",," 3,883 ",91.1%,91.1%,91.1%,53.2%,53.2%,53.2%,58.4%,58.4%,58.4%
Klickitat,2017,0TOTAL," 8,593 "," 8,829 "," 17,422 "," 7,054 "," 6,997 ", -   ," 14,051 "," 2,880 "," 2,658 ", -   ," 5,538 ",82.1%,79.3%,80.7%,33.5%,30.1%,31.8%,40.8%,38.0%,39.4%
Klickitat,2017,18-24, 705 , 778 ," 1,483 ", 421 , 396 ,, 817 , 58 , 40 ,, 98 ,59.7%,50.9%,55.1%,8.2%,5.1%,6.6%,13.8%,10.1%,12.0%
Klickitat,2017,25-34, 880 , 900 ," 1,779 ", 801 , 774 ,," 1,575 ", 126 , 100 ,, 226 ,91.0%,86.0%,88.5%,14.3%,11.1%,12.7%,15.7%,12.9%,14.3%
Klickitat,2017,35-44," 1,113 "," 1,184 "," 2,297 ", 971 , 942 ,," 1,913 ", 249 , 198 ,, 447 ,87.2%,79.6%,83.3%,22.4%,16.7%,19.5%,25.6%,21.0%,23.4%
Klickitat,2017,45-54," 1,345 "," 1,444 "," 2,789 ", 993 ," 1,074 ",," 2,067 ", 324 , 325 ,, 649 ,73.8%,74.4%,74.1%,24.1%,22.5%,23.3%,32.6%,30.3%,31.4%
Klickitat,2017,55-64," 1,894 "," 1,804 "," 3,698 "," 1,612 "," 1,463 ",," 3,075 ", 763 , 586 ,," 1,349 ",85.1%,81.1%,83.2%,40.3%,32.5%,36.5%,47.3%,40.1%,43.9%
Klickitat,2017,65-," 2,657 "," 2,719 "," 5,375 "," 2,256 "," 2,348 ",," 4,604 "," 1,360 "," 1,409 ",," 2,769 ",84.9%,86.4%,85.6%,51.2%,51.8%,51.5%,60.3%,60.0%,60.1%
Lewis,2017,0TOTAL," 30,317 "," 30,258 "," 60,575 "," 24,016 "," 22,004 ", 52 ," 46,072 "," 8,911 "," 7,968 ", 4 ," 16,883 ",79.2%,72.7%,76.1%,29.4%,26.3%,27.9%,37.1%,36.2%,36.6%
Lewis,2017,18-24," 3,020 "," 3,302 "," 6,322 "," 1,683 "," 1,782 ", 14 ," 3,479 ", 227 , 224 ,, 451 ,55.7%,54.0%,55.0%,7.5%,6.8%,7.1%,13.5%,12.6%,13.0%
Lewis,2017,25-34," 4,119 "," 4,410 "," 8,529 "," 3,254 "," 2,842 ", 9 ," 6,105 ", 438 , 348 , 1 , 787 ,79.0%,64.4%,71.6%,10.6%,7.9%,9.2%,13.5%,12.2%,12.9%
Lewis,2017,35-44," 4,206 "," 4,282 "," 8,488 "," 3,204 "," 2,888 ", 11 ," 6,103 ", 703 , 556 , 1 ," 1,260 ",76.2%,67.4%,71.9%,16.7%,13.0%,14.8%,21.9%,19.3%,20.6%
Lewis,2017,45-54," 4,872 "," 4,978 "," 9,849 "," 3,620 "," 3,397 ", 10 ," 7,027 "," 1,101 ", 947 ,," 2,048 ",74.3%,68.2%,71.3%,22.6%,19.0%,20.8%,30.4%,27.9%,29.1%
Lewis,2017,55-64," 5,754 "," 5,574 "," 11,328 "," 4,952 "," 4,345 ", 4 ," 9,301 "," 2,206 "," 1,867 ",," 4,073 ",86.1%,78.0%,82.1%,38.3%,33.5%,36.0%,44.5%,43.0%,43.8%
Lewis,2017,65-," 8,346 "," 7,713 "," 16,059 "," 7,303 "," 6,750 ", 4 ," 14,057 "," 4,236 "," 4,026 ", 2 ," 8,264 ",87.5%,87.5%,87.5%,50.8%,52.2%,51.5%,58.0%,59.6%,58.8%
Lincoln,2017,0TOTAL," 4,231 "," 4,247 "," 8,478 "," 3,581 "," 3,583 ", -   ," 7,164 "," 1,729 "," 1,629 ", -   ," 3,358 ",84.6%,84.4%,84.5%,40.9%,38.4%,39.6%,48.3%,45.5%,46.9%
Lincoln,2017,18-24, 363 , 374 , 737 , 224 , 245 ,, 469 , 36 , 52 ,, 88 ,61.7%,65.5%,63.6%,9.9%,13.9%,11.9%,16.1%,21.2%,18.8%
Lincoln,2017,25-34, 402 , 417 , 818 , 358 , 373 ,, 731 , 78 , 56 ,, 134 ,89.2%,89.5%,89.3%,19.4%,13.4%,16.4%,21.8%,15.0%,18.3%
Lincoln,2017,35-44, 479 , 493 , 972 , 492 , 467 ,, 959 , 143 , 116 ,, 259 ,102.7%,94.7%,98.6%,29.9%,23.5%,26.6%,29.1%,24.8%,27.0%
Lincoln,2017,45-54, 654 , 677 ," 1,331 ", 508 , 529 ,," 1,037 ", 216 , 202 ,, 418 ,77.7%,78.2%,77.9%,33.0%,29.9%,31.4%,42.5%,38.2%,40.3%
Lincoln,2017,55-64, 933 , 932 ," 1,864 ", 792 , 777 ,," 1,569 ", 453 , 417 ,, 870 ,84.9%,83.4%,84.2%,48.6%,44.8%,46.7%,57.2%,53.7%,55.4%
Lincoln,2017,65-," 1,400 "," 1,355 "," 2,755 "," 1,207 "," 1,192 ",," 2,399 ", 803 , 786 ,," 1,589 ",86.2%,88.0%,87.1%,57.3%,58.0%,57.7%,66.5%,65.9%,66.2%
Mason,2017,0TOTAL," 24,625 "," 26,312 "," 50,937 "," 19,776 "," 18,488 ", 1 ," 38,265 "," 7,142 "," 6,696 ", -   ," 13,838 ",80.3%,70.3%,75.1%,29.0%,25.4%,27.2%,36.1%,36.2%,36.2%
Mason,2017,18-24," 2,206 "," 2,678 "," 4,885 "," 1,279 "," 1,383 ", 1 ," 2,663 ", 110 , 122 ,, 232 ,58.0%,51.6%,54.5%,5.0%,4.6%,4.7%,8.6%,8.8%,8.7%
Mason,2017,25-34," 3,139 "," 3,835 "," 6,974 "," 2,304 "," 2,114 ",," 4,418 ", 220 , 213 ,, 433 ,73.4%,55.1%,63.3%,7.0%,5.6%,6.2%,9.5%,10.1%,9.8%
Mason,2017,35-44," 3,130 "," 3,720 "," 6,849 "," 2,296 "," 2,107 ",," 4,403 ", 435 , 357 ,, 792 ,73.4%,56.6%,64.3%,13.9%,9.6%,11.6%,18.9%,16.9%,18.0%
Mason,2017,45-54," 3,688 "," 4,110 "," 7,798 "," 2,854 "," 2,622 ",," 5,476 ", 716 , 627 ,," 1,343 ",77.4%,63.8%,70.2%,19.4%,15.3%,17.2%,25.1%,23.9%,24.5%
Mason,2017,55-64," 4,966 "," 4,886 "," 9,852 "," 4,349 "," 4,008 ",," 8,357 "," 1,827 "," 1,622 ",," 3,449 ",87.6%,82.0%,84.8%,36.8%,33.2%,35.0%,42.0%,40.5%,41.3%
Mason,2017,65-," 7,495 "," 7,083 "," 14,578 "," 6,694 "," 6,254 ",," 12,948 "," 3,834 "," 3,755 ",," 7,589 ",89.3%,88.3%,88.8%,51.2%,53.0%,52.1%,57.3%,60.0%,58.6%
Okanogan,2017,0TOTAL," 16,028 "," 16,404 "," 32,432 "," 11,655 "," 10,835 ", 3 ," 22,493 "," 4,963 "," 4,522 ", -   ," 9,485 ",72.7%,66.1%,69.4%,31.0%,27.6%,29.2%,42.6%,41.7%,42.2%
Okanogan,2017,18-24," 1,303 "," 1,443 "," 2,746 ", 706 , 685 , 2 ," 1,393 ", 80 , 67 ,, 147 ,54.2%,47.5%,50.7%,6.1%,4.6%,5.4%,11.3%,9.8%,10.6%
Okanogan,2017,25-34," 1,867 "," 1,971 "," 3,838 "," 1,434 "," 1,229 ",," 2,663 ", 195 , 158 ,, 353 ,76.8%,62.3%,69.4%,10.4%,8.0%,9.2%,13.6%,12.9%,13.3%
Okanogan,2017,35-44," 2,151 "," 2,205 "," 4,356 "," 1,466 "," 1,364 ", 1 ," 2,831 ", 367 , 321 ,, 688 ,68.2%,61.9%,65.0%,17.1%,14.6%,15.8%,25.0%,23.5%,24.3%
Okanogan,2017,45-54," 2,553 "," 2,619 "," 5,172 "," 1,642 "," 1,448 ",," 3,090 ", 598 , 510 ,," 1,108 ",64.3%,55.3%,59.7%,23.4%,19.5%,21.4%,36.4%,35.2%,35.9%
Okanogan,2017,55-64," 3,442 "," 3,357 "," 6,800 "," 2,693 "," 2,382 ",," 5,075 "," 1,344 "," 1,099 ",," 2,443 ",78.2%,71.0%,74.6%,39.0%,32.7%,35.9%,49.9%,46.1%,48.1%
Okanogan,2017,65-," 4,712 "," 4,808 "," 9,521 "," 3,714 "," 3,727 ",," 7,441 "," 2,379 "," 2,367 ",," 4,746 ",78.8%,77.5%,78.2%,50.5%,49.2%,49.9%,64.1%,63.5%,63.8%
Pacific,2017,0TOTAL," 8,741 "," 8,871 "," 17,611 "," 7,459 "," 6,907 ", 12 ," 14,378 "," 3,217 "," 2,901 ", 2 ," 6,120 ",85.3%,77.9%,81.6%,36.8%,32.7%,34.8%,43.1%,42.0%,42.6%
Pacific,2017,18-24, 576 , 665 ," 1,241 ", 326 , 371 , 2 , 699 , 27 , 41 ,, 68 ,56.6%,55.8%,56.3%,4.7%,6.2%,5.5%,8.3%,11.1%,9.7%
Pacific,2017,25-34, 792 , 881 ," 1,673 ", 708 , 668 , 1 ," 1,377 ", 99 , 79 ,, 178 ,89.4%,75.8%,82.3%,12.5%,9.0%,10.6%,14.0%,11.8%,12.9%
Pacific,2017,35-44, 902 , 971 ," 1,873 ", 718 , 687 , 4 ," 1,409 ", 163 , 143 ,, 306 ,79.6%,70.8%,75.2%,18.1%,14.7%,16.3%,22.7%,20.8%,21.7%
Pacific,2017,45-54," 1,199 "," 1,269 "," 2,468 ", 954 , 847 ,," 1,801 ", 279 , 241 ,, 520 ,79.6%,66.8%,73.0%,23.3%,19.0%,21.1%,29.2%,28.5%,28.9%
Pacific,2017,55-64," 2,010 "," 1,880 "," 3,891 "," 1,694 "," 1,459 ", 2 ," 3,155 ", 809 , 647 ,," 1,456 ",84.3%,77.6%,81.1%,40.2%,34.4%,37.4%,47.8%,44.3%,46.1%
Pacific,2017,65-," 3,261 "," 3,205 "," 6,467 "," 3,059 "," 2,875 ", 3 ," 5,937 "," 1,840 "," 1,750 ", 2 ," 3,592 ",93.8%,89.7%,91.8%,56.4%,54.6%,55.5%,60.2%,60.9%,60.5%
Pend Oreille,2017,0TOTAL," 5,337 "," 5,508 "," 10,845 "," 4,480 "," 4,323 ", 51 ," 8,854 "," 1,995 "," 1,888 ", 16 ," 3,899 ",83.9%,78.5%,81.6%,37.4%,34.3%,36.0%,44.5%,43.7%,44.0%
Pend Oreille,2017,18-24, 461 , 491 , 952 , 287 , 313 , 6 , 606 , 59 , 36 , 2 , 97 ,62.3%,63.8%,63.7%,12.8%,7.3%,10.2%,20.6%,11.5%,16.0%
Pend Oreille,2017,25-34, 540 , 530 ," 1,070 ", 470 , 448 , 7 , 925 , 74 , 68 ,, 142 ,87.0%,84.6%,86.5%,13.7%,12.8%,13.3%,15.7%,15.2%,15.4%
Pend Oreille,2017,35-44, 593 , 638 ," 1,231 ", 474 , 438 , 8 , 920 , 122 , 90 , 4 , 216 ,79.9%,68.7%,74.7%,20.6%,14.1%,17.5%,25.7%,20.5%,23.5%
Pend Oreille,2017,45-54, 841 , 885 ," 1,726 ", 633 , 650 , 10 ," 1,293 ", 226 , 215 , 4 , 445 ,75.3%,73.4%,74.9%,26.9%,24.3%,25.8%,35.7%,33.1%,34.4%
Pend Oreille,2017,55-64," 1,186 "," 1,213 "," 2,400 "," 1,113 ", 946 , 7 ," 2,066 ", 571 , 488 , 3 ," 1,062 ",93.8%,78.0%,86.1%,48.1%,40.2%,44.3%,51.3%,51.6%,51.4%
Pend Oreille,2017,65-," 1,716 "," 1,751 "," 3,467 "," 1,503 "," 1,528 ", 13 ," 3,044 ", 943 , 991 , 3 ," 1,937 ",87.6%,87.2%,87.8%,55.0%,56.6%,55.9%,62.7%,64.9%,63.6%
Pierce,2017,0TOTAL," 333,924 "," 317,530 "," 651,454 "," 259,865 "," 233,666 ", 55 ," 493,586 "," 74,395 "," 66,604 ", 8 ," 141,007 ",77.8%,73.6%,75.8%,22.3%,21.0%,21.6%,28.6%,28.5%,28.6%
Pierce,2017,18-24," 37,636 "," 38,993 "," 76,629 "," 22,467 "," 21,517 ", 11 ," 43,995 "," 2,218 "," 2,096 ", 1 ," 4,315 ",59.7%,55.2%,57.4%,5.9%,5.4%,5.6%,9.9%,9.7%,9.8%
Pierce,2017,25-34," 59,758 "," 57,382 "," 117,140 "," 45,119 "," 41,367 ", 16 ," 86,502 "," 5,361 "," 4,665 ", 1 ," 10,027 ",75.5%,72.1%,73.8%,9.0%,8.1%,8.6%,11.9%,11.3%,11.6%
Pierce,2017,35-44," 55,701 "," 54,150 "," 109,851 "," 43,635 "," 39,218 ", 15 ," 82,868 "," 8,138 "," 7,066 ", 2 ," 15,206 ",78.3%,72.4%,75.4%,14.6%,13.0%,13.8%,18.7%,18.0%,18.3%
Pierce,2017,45-54," 57,206 "," 57,240 "," 114,446 "," 44,353 "," 41,196 ", 2 ," 85,551 "," 11,172 "," 10,410 ",," 21,582 ",77.5%,72.0%,74.8%,19.5%,18.2%,18.9%,25.2%,25.3%,25.2%
Pierce,2017,55-64," 57,886 "," 55,080 "," 112,966 "," 47,902 "," 43,439 ", 6 ," 91,347 "," 17,905 "," 16,132 ", 2 ," 34,039 ",82.8%,78.9%,80.9%,30.9%,29.3%,30.1%,37.4%,37.1%,37.3%
Pierce,2017,65-," 65,736 "," 54,686 "," 120,422 "," 56,389 "," 46,929 ", 5 ," 103,323 "," 29,601 "," 26,235 ", 2 ," 55,838 ",85.8%,85.8%,85.8%,45.0%,48.0%,46.4%,52.5%,55.9%,54.0%
San Juan,2017,0TOTAL," 7,350 "," 6,974 "," 14,324 "," 6,793 "," 6,136 ", 6 ," 12,935 "," 3,916 "," 3,326 ", 3 ," 7,245 ",92.4%,88.0%,90.3%,53.3%,47.7%,50.6%,57.6%,54.2%,56.0%
San Juan,2017,18-24, 434 , 434 , 868 , 291 , 287 , 1 , 579 , 63 , 54 ,, 117 ,67.0%,66.1%,66.7%,14.5%,12.4%,13.5%,21.6%,18.8%,20.2%
San Juan,2017,25-34, 636 , 572 ," 1,208 ", 627 , 546 ,," 1,173 ", 178 , 138 ,, 316 ,98.5%,95.4%,97.1%,28.0%,24.1%,26.2%,28.4%,25.3%,26.9%
San Juan,2017,35-44, 789 , 800 ," 1,588 ", 687 , 577 ,," 1,264 ", 313 , 218 ,, 531 ,87.1%,72.2%,79.6%,39.7%,27.3%,33.4%,45.6%,37.8%,42.0%
San Juan,2017,45-54," 1,075 "," 1,033 "," 2,108 ", 875 , 796 , 2 ," 1,673 ", 435 , 356 , 1 , 792 ,81.4%,77.1%,79.4%,40.5%,34.5%,37.6%,49.7%,44.7%,47.3%
San Juan,2017,55-64," 1,718 "," 1,551 "," 3,270 "," 1,599 "," 1,275 ", 1 ," 2,875 ", 983 , 722 ,," 1,705 ",93.1%,82.2%,87.9%,57.2%,46.5%,52.1%,61.5%,56.6%,59.3%
San Juan,2017,65-," 2,698 "," 2,583 "," 5,282 "," 2,714 "," 2,655 ", 2 ," 5,371 "," 1,944 "," 1,838 ", 2 ," 3,784 ",100.6%,102.8%,101.7%,72.0%,71.1%,71.6%,71.6%,69.2%,70.5%
Skagit,2017,0TOTAL," 48,750 "," 47,661 "," 96,411 "," 38,978 "," 34,744 ", 3 ," 73,725 "," 14,856 "," 13,083 ", -   ," 27,939 ",80.0%,72.9%,76.5%,30.5%,27.4%,29.0%,38.1%,37.7%,37.9%
Skagit,2017,18-24," 4,723 "," 4,903 "," 9,625 "," 2,792 "," 2,574 ", 1 ," 5,367 ", 299 , 293 ,, 592 ,59.1%,52.5%,55.8%,6.3%,6.0%,6.2%,10.7%,11.4%,11.0%
Skagit,2017,25-34," 6,931 "," 7,251 "," 14,183 "," 5,353 "," 4,761 ",," 10,114 ", 701 , 614 ,," 1,315 ",77.2%,65.7%,71.3%,10.1%,8.5%,9.3%,13.1%,12.9%,13.0%
Skagit,2017,35-44," 6,927 "," 7,277 "," 14,204 "," 5,011 "," 4,651 ",," 9,662 "," 1,061 ", 958 ,," 2,019 ",72.3%,63.9%,68.0%,15.3%,13.2%,14.2%,21.2%,20.6%,20.9%
Skagit,2017,45-54," 7,600 "," 7,770 "," 15,371 "," 5,705 "," 5,131 ", 1 ," 10,837 "," 1,710 "," 1,481 ",," 3,191 ",75.1%,66.0%,70.5%,22.5%,19.1%,20.8%,30.0%,28.9%,29.4%
Skagit,2017,55-64," 9,210 "," 8,685 "," 17,895 "," 7,872 "," 6,860 ", 1 ," 14,733 "," 3,621 "," 2,987 ",," 6,608 ",85.5%,79.0%,82.3%,39.3%,34.4%,36.9%,46.0%,43.5%,44.9%
Skagit,2017,65-," 13,358 "," 11,775 "," 25,133 "," 12,245 "," 10,767 ",," 23,012 "," 7,464 "," 6,750 ",," 14,214 ",91.7%,91.4%,91.6%,55.9%,57.3%,56.6%,61.0%,62.7%,61.8%
Skamania,2017,0TOTAL," 4,677 "," 4,744 "," 9,421 "," 3,768 "," 3,785 ", 14 ," 7,567 "," 1,279 "," 1,233 ", 3 ," 2,515 ",80.6%,79.8%,80.3%,27.3%,26.0%,26.7%,33.9%,32.6%,33.2%
Skamania,2017,18-24, 398 , 407 , 805 , 227 , 237 ,, 464 , 31 , 24 ,, 55 ,57.0%,58.2%,57.6%,7.8%,5.9%,6.8%,13.7%,10.1%,11.9%
Skamania,2017,25-34, 527 , 546 ," 1,074 ", 483 , 446 , 7 , 936 , 50 , 42 ,, 92 ,91.6%,81.6%,87.2%,9.5%,7.7%,8.6%,10.4%,9.4%,9.8%
Skamania,2017,35-44, 680 , 673 ," 1,352 ", 536 , 536 , 2 ," 1,074 ", 106 , 99 , 1 , 206 ,78.9%,79.7%,79.4%,15.6%,14.7%,15.2%,19.8%,18.5%,19.2%
Skamania,2017,45-54, 839 , 832 ," 1,671 ", 638 , 619 , 2 ," 1,259 ", 176 , 151 , 1 , 328 ,76.0%,74.4%,75.3%,21.0%,18.1%,19.6%,27.6%,24.4%,26.1%
Skamania,2017,55-64," 1,020 "," 1,067 "," 2,087 ", 892 , 910 , 2 ," 1,804 ", 354 , 327 ,, 681 ,87.4%,85.3%,86.4%,34.7%,30.7%,32.6%,39.7%,35.9%,37.7%
Skamania,2017,65-," 1,213 "," 1,219 "," 2,431 ", 992 ," 1,037 ", 1 ," 2,030 ", 562 , 590 , 1 ," 1,153 ",81.8%,85.1%,83.5%,46.3%,48.4%,47.4%,56.7%,56.9%,56.8%
Snohomish,2017,0TOTAL," 306,054 "," 304,238 "," 610,291 "," 235,020 "," 217,998 ", 85 ," 453,103 "," 77,350 "," 70,685 ", 24 ," 148,059 ",76.8%,71.7%,74.2%,25.3%,23.2%,24.3%,32.9%,32.4%,32.7%
Snohomish,2017,18-24," 29,953 "," 32,352 "," 62,305 "," 19,569 "," 18,952 ", 10 ," 38,531 "," 2,684 "," 2,593 ", 1 ," 5,278 ",65.3%,58.6%,61.8%,9.0%,8.0%,8.5%,13.7%,13.7%,13.7%
Snohomish,2017,25-34," 51,463 "," 54,736 "," 106,199 "," 39,218 "," 37,147 ", 18 ," 76,383 "," 6,036 "," 5,493 ", 3 ," 11,532 ",76.2%,67.9%,71.9%,11.7%,10.0%,10.9%,15.4%,14.8%,15.1%
Snohomish,2017,35-44," 53,973 "," 57,086 "," 111,059 "," 39,144 "," 37,112 ", 13 ," 76,269 "," 8,874 "," 8,125 ", 3 ," 17,002 ",72.5%,65.0%,68.7%,16.4%,14.2%,15.3%,22.7%,21.9%,22.3%
Snohomish,2017,45-54," 55,946 "," 57,799 "," 113,745 "," 42,628 "," 41,109 ", 8 ," 83,745 "," 12,855 "," 12,297 ", 1 ," 25,153 ",76.2%,71.1%,73.6%,23.0%,21.3%,22.1%,30.2%,29.9%,30.0%
Snohomish,2017,55-64," 54,899 "," 53,862 "," 108,761 "," 45,369 "," 42,987 ", 16 ," 88,372 "," 18,977 "," 17,976 ", 7 ," 36,960 ",82.6%,79.8%,81.3%,34.6%,33.4%,34.0%,41.8%,41.8%,41.8%
