County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Douglas,2016,45-54,2487.13 ,2556.28 ,5043.40 ,1638.00 ,1482.00 ,64.00 ,3184.00 ,1292.00 ,1150.00 ,49.00 ,2491.00 ,0.66 ,0.58 ,0.63 ,0.52 ,0.45 ,0.49 ,0.79 ,0.78 ,0.78 
Douglas,2016,55-64,2699.32 ,2628.22 ,5327.54 ,2127.00 ,1986.00 ,53.00 ,4166.00 ,1847.00 ,1718.00 ,44.00 ,3609.00 ,0.79 ,0.76 ,0.78 ,0.68 ,0.65 ,0.68 ,0.87 ,0.87 ,0.87 
Douglas,2016,65-,3563.34 ,3190.50 ,6753.84 ,3016.00 ,2818.00 ,109.00 ,5943.00 ,2691.00 ,2587.00 ,100.00 ,5378.00 ,0.85 ,0.88 ,0.88 ,0.76 ,0.81 ,0.80 ,0.89 ,0.92 ,0.90 
Ferry,2016,0TOTAL,3035.74 ,3257.84 ,6293.58 ,2351.00 ,2324.00 ,,4675.00 ,1908.00 ,1849.00 ,0.00 ,3757.00 ,0.77 ,0.71 ,0.74 ,0.63 ,0.57 ,0.60 ,0.81 ,0.80 ,0.80 
Ferry,2016,18-24,292.23 ,401.08 ,693.30 ,134.00 ,152.00 ,,286.00 ,65.00 ,63.00 ,0.00 ,128.00 ,0.46 ,0.38 ,0.41 ,0.22 ,0.16 ,0.18 ,0.49 ,0.41 ,0.45 
Ferry,2016,25-34,296.45 ,323.69 ,620.13 ,227.00 ,238.00 ,,465.00 ,150.00 ,147.00 ,0.00 ,297.00 ,0.77 ,0.74 ,0.75 ,0.51 ,0.45 ,0.48 ,0.66 ,0.62 ,0.64 
Ferry,2016,35-44,319.66 ,354.78 ,674.44 ,282.00 ,268.00 ,,550.00 ,213.00 ,195.00 ,0.00 ,408.00 ,0.88 ,0.76 ,0.82 ,0.67 ,0.55 ,0.60 ,0.76 ,0.73 ,0.74 
Ferry,2016,45-54,494.82 ,467.59 ,962.40 ,378.00 ,298.00 ,,676.00 ,284.00 ,243.00 ,0.00 ,527.00 ,0.76 ,0.64 ,0.70 ,0.57 ,0.52 ,0.55 ,0.75 ,0.82 ,0.78 
Ferry,2016,55-64,692.79 ,695.38 ,1388.16 ,558.00 ,514.00 ,,1072.00 ,494.00 ,438.00 ,0.00 ,932.00 ,0.81 ,0.74 ,0.77 ,0.71 ,0.63 ,0.67 ,0.89 ,0.85 ,0.87 
Ferry,2016,65-,939.80 ,1015.34 ,1955.14 ,772.00 ,854.00 ,,1626.00 ,702.00 ,763.00 ,0.00 ,1465.00 ,0.82 ,0.84 ,0.83 ,0.75 ,0.75 ,0.75 ,0.91 ,0.89 ,0.90 
Franklin,2016,0TOTAL,28544.09 ,30649.69 ,59193.78 ,17645.00 ,16090.00 ,398.00 ,34133.00 ,13111.00 ,11658.00 ,301.00 ,25070.00 ,0.62 ,0.52 ,0.58 ,0.46 ,0.38 ,0.42 ,0.74 ,0.72 ,0.73 
Franklin,2016,18-24,4197.28 ,4531.89 ,8729.17 ,2321.00 ,2046.00 ,37.00 ,4404.00 ,1247.00 ,914.00 ,19.00 ,2180.00 ,0.55 ,0.45 ,0.50 ,0.30 ,0.20 ,0.25 ,0.54 ,0.45 ,0.50 
Franklin,2016,25-34,6036.71 ,6781.66 ,12818.37 ,3773.00 ,3245.00 ,41.00 ,7059.00 ,2387.00 ,1897.00 ,26.00 ,4310.00 ,0.63 ,0.48 ,0.55 ,0.40 ,0.28 ,0.34 ,0.63 ,0.58 ,0.61 
Franklin,2016,35-44,5735.20 ,6248.16 ,11983.36 ,3156.00 ,2807.00 ,75.00 ,6038.00 ,2340.00 ,2053.00 ,54.00 ,4447.00 ,0.55 ,0.45 ,0.50 ,0.41 ,0.33 ,0.37 ,0.74 ,0.73 ,0.74 
Franklin,2016,45-54,4603.88 ,5107.97 ,9711.86 ,2457.00 ,2349.00 ,78.00 ,4884.00 ,1960.00 ,1833.00 ,58.00 ,3851.00 ,0.53 ,0.46 ,0.50 ,0.43 ,0.36 ,0.40 ,0.80 ,0.78 ,0.79 
Franklin,2016,55-64,3921.52 ,4113.89 ,8035.42 ,2802.00 ,2638.00 ,71.00 ,5511.00 ,2390.00 ,2280.00 ,57.00 ,4727.00 ,0.71 ,0.64 ,0.69 ,0.61 ,0.55 ,0.59 ,0.85 ,0.86 ,0.86 
Franklin,2016,65-,4049.50 ,3866.11 ,7915.61 ,3136.00 ,3005.00 ,96.00 ,6237.00 ,2787.00 ,2681.00 ,87.00 ,5555.00 ,0.77 ,0.78 ,0.79 ,0.69 ,0.69 ,0.70 ,0.89 ,0.89 ,0.89 
Garfield,2016,0TOTAL,896.50 ,862.68 ,1759.18 ,801.00 ,753.00 ,,1554.00 ,678.00 ,621.00 ,0.00 ,1299.00 ,0.89 ,0.87 ,0.88 ,0.76 ,0.72 ,0.74 ,0.85 ,0.82 ,0.84 
Garfield,2016,18-24,30.50 ,46.00 ,76.50 ,47.00 ,49.00 ,,96.00 ,30.00 ,27.00 ,0.00 ,57.00 ,1.54 ,1.07 ,1.25 ,0.98 ,0.59 ,0.75 ,0.64 ,0.55 ,0.59 
Garfield,2016,25-34,63.21 ,59.55 ,122.76 ,97.00 ,94.00 ,,191.00 ,65.00 ,57.00 ,0.00 ,122.00 ,1.53 ,1.58 ,1.56 ,1.03 ,0.96 ,0.99 ,0.67 ,0.61 ,0.64 
Garfield,2016,35-44,118.33 ,118.93 ,237.26 ,91.00 ,93.00 ,,184.00 ,75.00 ,76.00 ,0.00 ,151.00 ,0.77 ,0.78 ,0.78 ,0.63 ,0.64 ,0.64 ,0.82 ,0.82 ,0.82 
Garfield,2016,45-54,146.29 ,139.91 ,286.20 ,107.00 ,96.00 ,,203.00 ,85.00 ,76.00 ,0.00 ,161.00 ,0.73 ,0.69 ,0.71 ,0.58 ,0.54 ,0.56 ,0.79 ,0.79 ,0.79 
Garfield,2016,55-64,209.21 ,207.33 ,416.54 ,178.00 ,188.00 ,,366.00 ,163.00 ,169.00 ,0.00 ,332.00 ,0.85 ,0.91 ,0.88 ,0.78 ,0.82 ,0.80 ,0.92 ,0.90 ,0.91 
Garfield,2016,65-,328.94 ,290.97 ,619.91 ,281.00 ,233.00 ,,514.00 ,260.00 ,216.00 ,0.00 ,476.00 ,0.85 ,0.80 ,0.83 ,0.79 ,0.74 ,0.77 ,0.93 ,0.93 ,0.93 
Grant,2016,0TOTAL,32452.38 ,34119.18 ,66571.56 ,20732.00 ,18977.00 ,66.00 ,39775.00 ,15603.00 ,14135.00 ,42.00 ,29780.00 ,0.64 ,0.56 ,0.60 ,0.48 ,0.41 ,0.45 ,0.75 ,0.74 ,0.75 
Grant,2016,18-24,4194.54 ,4807.78 ,9002.32 ,2180.00 ,1875.00 ,15.00 ,4070.00 ,1149.00 ,842.00 ,11.00 ,2002.00 ,0.52 ,0.39 ,0.45 ,0.27 ,0.18 ,0.22 ,0.53 ,0.45 ,0.49 
Grant,2016,25-34,5725.64 ,6464.08 ,12189.72 ,3416.00 ,3058.00 ,11.00 ,6485.00 ,1936.00 ,1713.00 ,4.00 ,3653.00 ,0.60 ,0.47 ,0.53 ,0.34 ,0.27 ,0.30 ,0.57 ,0.56 ,0.56 
Grant,2016,35-44,5433.53 ,5775.87 ,11209.39 ,2890.00 ,2536.00 ,9.00 ,5435.00 ,2144.00 ,1784.00 ,6.00 ,3934.00 ,0.53 ,0.44 ,0.48 ,0.39 ,0.31 ,0.35 ,0.74 ,0.70 ,0.72 
Grant,2016,45-54,5282.28 ,5636.70 ,10918.97 ,3148.00 ,2959.00 ,15.00 ,6122.00 ,2458.00 ,2317.00 ,8.00 ,4783.00 ,0.60 ,0.52 ,0.56 ,0.47 ,0.41 ,0.44 ,0.78 ,0.78 ,0.78 
Grant,2016,55-64,5214.70 ,5268.12 ,10482.83 ,3716.00 ,3599.00 ,7.00 ,7322.00 ,3199.00 ,3063.00 ,6.00 ,6268.00 ,0.71 ,0.68 ,0.70 ,0.61 ,0.58 ,0.60 ,0.86 ,0.85 ,0.86 
Grant,2016,65-,6601.69 ,6166.63 ,12768.32 ,5382.00 ,4950.00 ,9.00 ,10341.00 ,4717.00 ,4416.00 ,7.00 ,9140.00 ,0.82 ,0.80 ,0.81 ,0.71 ,0.72 ,0.72 ,0.88 ,0.89 ,0.88 
Grays Harbor,2016,0TOTAL,27656.36 ,30092.14 ,57748.49 ,20738.00 ,18769.00 ,367.00 ,39874.00 ,15623.00 ,13910.00 ,244.00 ,29777.00 ,0.75 ,0.62 ,0.69 ,0.56 ,0.46 ,0.52 ,0.75 ,0.74 ,0.75 
Grays Harbor,2016,18-24,2601.91 ,3101.38 ,5703.29 ,1509.00 ,1449.00 ,77.00 ,3035.00 ,730.00 ,651.00 ,45.00 ,1426.00 ,0.58 ,0.47 ,0.53 ,0.28 ,0.21 ,0.25 ,0.48 ,0.45 ,0.47 
Grays Harbor,2016,25-34,3687.86 ,4847.05 ,8534.91 ,2521.00 ,2335.00 ,60.00 ,4916.00 ,1398.00 ,1182.00 ,31.00 ,2611.00 ,0.68 ,0.48 ,0.58 ,0.38 ,0.24 ,0.31 ,0.55 ,0.51 ,0.53 
Grays Harbor,2016,35-44,3758.64 ,4593.22 ,8351.86 ,2579.00 ,2338.00 ,42.00 ,4959.00 ,1714.00 ,1480.00 ,29.00 ,3223.00 ,0.69 ,0.51 ,0.59 ,0.46 ,0.32 ,0.39 ,0.66 ,0.63 ,0.65 
Grays Harbor,2016,45-54,4534.04 ,5069.77 ,9603.81 ,3160.00 ,2783.00 ,58.00 ,6001.00 ,2321.00 ,2071.00 ,36.00 ,4428.00 ,0.70 ,0.55 ,0.62 ,0.51 ,0.41 ,0.46 ,0.73 ,0.74 ,0.74 
Grays Harbor,2016,55-64,5600.83 ,5532.93 ,11133.76 ,4617.00 ,3986.00 ,60.00 ,8663.00 ,3894.00 ,3282.00 ,47.00 ,7223.00 ,0.82 ,0.72 ,0.78 ,0.70 ,0.59 ,0.65 ,0.84 ,0.82 ,0.83 
Grays Harbor,2016,65-,7473.08 ,6947.78 ,14420.86 ,6352.00 ,5878.00 ,70.00 ,12300.00 ,5566.00 ,5244.00 ,56.00 ,10866.00 ,0.85 ,0.85 ,0.85 ,0.74 ,0.75 ,0.75 ,0.88 ,0.89 ,0.88 
Island,2016,0TOTAL,34083.07 ,32719.95 ,66803.02 ,29104.00 ,26302.00 ,,55406.00 ,23999.00 ,20861.00 ,0.00 ,44860.00 ,0.85 ,0.80 ,0.83 ,0.70 ,0.64 ,0.67 ,0.82 ,0.79 ,0.81 
Island,2016,18-24,3164.13 ,3905.71 ,7069.84 ,2043.00 ,1920.00 ,,3963.00 ,1197.00 ,965.00 ,0.00 ,2162.00 ,0.65 ,0.49 ,0.56 ,0.38 ,0.25 ,0.31 ,0.59 ,0.50 ,0.55 
Island,2016,25-34,4414.80 ,4866.99 ,9281.79 ,3709.00 ,3389.00 ,,7098.00 ,2290.00 ,1871.00 ,0.00 ,4161.00 ,0.84 ,0.70 ,0.76 ,0.52 ,0.38 ,0.45 ,0.62 ,0.55 ,0.59 
Island,2016,35-44,3807.24 ,3783.18 ,7590.42 ,3314.00 ,3033.00 ,,6347.00 ,2450.00 ,2071.00 ,0.00 ,4521.00 ,0.87 ,0.80 ,0.84 ,0.64 ,0.55 ,0.60 ,0.74 ,0.68 ,0.71 
Island,2016,45-54,4983.13 ,4510.75 ,9493.88 ,4063.00 ,3892.00 ,,7955.00 ,3376.00 ,3105.00 ,0.00 ,6481.00 ,0.82 ,0.86 ,0.84 ,0.68 ,0.69 ,0.68 ,0.83 ,0.80 ,0.81 
Island,2016,55-64,7317.02 ,6235.59 ,13552.61 ,6298.00 ,5203.00 ,,11501.00 ,5683.00 ,4606.00 ,0.00 ,10289.00 ,0.86 ,0.83 ,0.85 ,0.78 ,0.74 ,0.76 ,0.90 ,0.89 ,0.89 
Island,2016,65-,10396.75 ,9417.73 ,19814.48 ,9677.00 ,8865.00 ,,18542.00 ,9003.00 ,8243.00 ,0.00 ,17246.00 ,0.93 ,0.94 ,0.94 ,0.87 ,0.88 ,0.87 ,0.93 ,0.93 ,0.93 
Jefferson,2016,0TOTAL,13662.07 ,13365.63 ,27027.70 ,12873.00 ,11720.00 ,,24593.00 ,11258.00 ,9899.00 ,0.00 ,21157.00 ,0.94 ,0.88 ,0.91 ,0.82 ,0.74 ,0.78 ,0.87 ,0.84 ,0.86 
Jefferson,2016,18-24,784.42 ,849.45 ,1633.88 ,547.00 ,566.00 ,,1113.00 ,348.00 ,302.00 ,0.00 ,650.00 ,0.70 ,0.67 ,0.68 ,0.44 ,0.36 ,0.40 ,0.64 ,0.53 ,0.58 
Jefferson,2016,25-34,1070.51 ,1232.39 ,2302.90 ,1155.00 ,1087.00 ,,2242.00 ,788.00 ,677.00 ,0.00 ,1465.00 ,1.08 ,0.88 ,0.97 ,0.74 ,0.55 ,0.64 ,0.68 ,0.62 ,0.65 
Jefferson,2016,35-44,1248.64 ,1376.26 ,2624.90 ,1152.00 ,1020.00 ,,2172.00 ,908.00 ,759.00 ,0.00 ,1667.00 ,0.92 ,0.74 ,0.83 ,0.73 ,0.55 ,0.64 ,0.79 ,0.74 ,0.77 
Jefferson,2016,45-54,1892.72 ,1791.07 ,3683.80 ,1570.00 ,1308.00 ,,2878.00 ,1340.00 ,1066.00 ,0.00 ,2406.00 ,0.83 ,0.73 ,0.78 ,0.71 ,0.60 ,0.65 ,0.85 ,0.81 ,0.84 
Jefferson,2016,55-64,3264.33 ,2844.87 ,6109.20 ,3143.00 ,2547.00 ,,5690.00 ,2862.00 ,2265.00 ,0.00 ,5127.00 ,0.96 ,0.90 ,0.93 ,0.88 ,0.80 ,0.84 ,0.91 ,0.89 ,0.90 
Jefferson,2016,65-,5401.44 ,5271.58 ,10673.02 ,5306.00 ,5192.00 ,,10498.00 ,5012.00 ,4830.00 ,0.00 ,9842.00 ,0.98 ,0.98 ,0.98 ,0.93 ,0.92 ,0.92 ,0.94 ,0.93 ,0.94 
King,2016,0TOTAL,837289.00 ,826355.00 ,1663647.00 ,664634.00 ,624503.00 ,2113.00 ,1291250.00 ,547122.00 ,492569.00 ,1305.00 ,1040996.00 ,0.79 ,0.76 ,0.78 ,0.65 ,0.60 ,0.63 ,0.82 ,0.79 ,0.81 
King,2016,18-24,93649.00 ,94048.00 ,187697.00 ,60168.00 ,56900.00 ,515.00 ,117583.00 ,41834.00 ,34927.00 ,288.00 ,77049.00 ,0.64 ,0.61 ,0.63 ,0.45 ,0.37 ,0.41 ,0.70 ,0.61 ,0.66 
King,2016,25-34,178869.00 ,189632.00 ,368502.00 ,130012.00 ,124387.00 ,509.00 ,254908.00 ,98115.00 ,86977.00 ,315.00 ,185407.00 ,0.73 ,0.66 ,0.69 ,0.55 ,0.46 ,0.50 ,0.75 ,0.70 ,0.73 
King,2016,35-44,149908.00 ,156585.00 ,306494.00 ,116724.00 ,112559.00 ,349.00 ,229632.00 ,95031.00 ,87813.00 ,218.00 ,183062.00 ,0.78 ,0.72 ,0.75 ,0.63 ,0.56 ,0.60 ,0.81 ,0.78 ,0.80 
King,2016,45-54,140907.00 ,145549.00 ,286457.00 ,116696.00 ,116421.00 ,292.00 ,233409.00 ,99358.00 ,95894.00 ,180.00 ,195432.00 ,0.83 ,0.80 ,0.81 ,0.71 ,0.66 ,0.68 ,0.85 ,0.82 ,0.84 
King,2016,55-64,128691.00 ,125817.00 ,254508.00 ,111867.00 ,106863.00 ,229.00 ,218959.00 ,99080.00 ,92285.00 ,148.00 ,191513.00 ,0.87 ,0.85 ,0.86 ,0.77 ,0.73 ,0.75 ,0.89 ,0.86 ,0.87 
King,2016,65-,145265.00 ,114724.00 ,259989.00 ,129167.00 ,107373.00 ,219.00 ,236759.00 ,113704.00 ,94673.00 ,156.00 ,208533.00 ,0.89 ,0.94 ,0.91 ,0.78 ,0.83 ,0.80 ,0.88 ,0.88 ,0.88 
Kitsap,2016,0TOTAL,102918.64 ,104726.25 ,207644.88 ,86350.00 ,80485.00 ,8.00 ,166843.00 ,68590.00 ,61582.00 ,6.00 ,130178.00 ,0.84 ,0.77 ,0.80 ,0.67 ,0.59 ,0.63 ,0.79 ,0.77 ,0.78 
Kitsap,2016,18-24,9221.35 ,15651.79 ,24873.15 ,7435.00 ,7329.00 ,3.00 ,14767.00 ,4398.00 ,3810.00 ,2.00 ,8210.00 ,0.81 ,0.47 ,0.59 ,0.48 ,0.24 ,0.33 ,0.59 ,0.52 ,0.56 
Kitsap,2016,25-34,13778.84 ,17001.19 ,30780.02 ,13198.00 ,12823.00 ,3.00 ,26024.00 ,8348.00 ,7374.00 ,2.00 ,15724.00 ,0.96 ,0.75 ,0.85 ,0.61 ,0.43 ,0.51 ,0.63 ,0.58 ,0.60 
Kitsap,2016,35-44,14761.40 ,13649.55 ,28410.95 ,12250.00 ,11501.00 ,,23751.00 ,9076.00 ,8075.00 ,0.00 ,17151.00 ,0.83 ,0.84 ,0.84 ,0.61 ,0.59 ,0.60 ,0.74 ,0.70 ,0.72 
Kitsap,2016,45-54,17917.23 ,16307.61 ,34224.85 ,14501.00 ,13668.00 ,,28169.00 ,11905.00 ,10866.00 ,0.00 ,22771.00 ,0.81 ,0.84 ,0.82 ,0.66 ,0.67 ,0.67 ,0.82 ,0.79 ,0.81 
Kitsap,2016,55-64,20558.51 ,19259.83 ,39818.34 ,17545.00 ,15924.00 ,2.00 ,33471.00 ,15518.00 ,13905.00 ,2.00 ,29425.00 ,0.85 ,0.83 ,0.84 ,0.75 ,0.72 ,0.74 ,0.88 ,0.87 ,0.88 
Kitsap,2016,65-,26681.30 ,22856.28 ,49537.58 ,21421.00 ,19240.00 ,,40661.00 ,19345.00 ,17552.00 ,0.00 ,36897.00 ,0.80 ,0.84 ,0.82 ,0.73 ,0.77 ,0.74 ,0.90 ,0.91 ,0.91 
Kittitas,2016,0TOTAL,17025.54 ,18123.24 ,35148.78 ,12606.00 ,11974.00 ,,24580.00 ,10377.00 ,9572.00 ,0.00 ,19949.00 ,0.74 ,0.66 ,0.70 ,0.61 ,0.53 ,0.57 ,0.82 ,0.80 ,0.81 
Kittitas,2016,18-24,4973.76 ,5430.52 ,10404.28 ,1435.00 ,1385.00 ,,2820.00 ,916.00 ,791.00 ,0.00 ,1707.00 ,0.29 ,0.26 ,0.27 ,0.18 ,0.15 ,0.16 ,0.64 ,0.57 ,0.61 
Kittitas,2016,25-34,1844.83 ,2305.45 ,4150.28 ,1872.00 ,1812.00 ,,3684.00 ,1334.00 ,1202.00 ,0.00 ,2536.00 ,1.01 ,0.79 ,0.89 ,0.72 ,0.52 ,0.61 ,0.71 ,0.66 ,0.69 
Kittitas,2016,35-44,1806.91 ,1909.99 ,3716.90 ,1654.00 ,1563.00 ,,3217.00 ,1305.00 ,1218.00 ,0.00 ,2523.00 ,0.92 ,0.82 ,0.87 ,0.72 ,0.64 ,0.68 ,0.79 ,0.78 ,0.78 
Kittitas,2016,45-54,2315.50 ,2397.21 ,4712.71 ,1947.00 ,1811.00 ,,3758.00 ,1666.00 ,1472.00 ,0.00 ,3138.00 ,0.84 ,0.76 ,0.80 ,0.72 ,0.61 ,0.67 ,0.86 ,0.81 ,0.84 
Kittitas,2016,55-64,2621.03 ,2732.16 ,5353.19 ,2440.00 ,2279.00 ,,4719.00 ,2191.00 ,2026.00 ,0.00 ,4217.00 ,0.93 ,0.83 ,0.88 ,0.84 ,0.74 ,0.79 ,0.90 ,0.89 ,0.89 
Kittitas,2016,65-,3463.51 ,3347.91 ,6811.42 ,3258.00 ,3124.00 ,,6382.00 ,2965.00 ,2863.00 ,0.00 ,5828.00 ,0.94 ,0.93 ,0.94 ,0.86 ,0.86 ,0.86 ,0.91 ,0.92 ,0.91 
Klickitat,2016,0TOTAL,8398.34 ,8656.70 ,17055.04 ,7017.00 ,6945.00 ,,13962.00 ,5752.00 ,5498.00 ,0.00 ,11250.00 ,0.84 ,0.80 ,0.82 ,0.68 ,0.64 ,0.66 ,0.82 ,0.79 ,0.81 
Klickitat,2016,18-24,644.09 ,701.69 ,1345.78 ,461.00 ,434.00 ,,895.00 ,258.00 ,212.00 ,0.00 ,470.00 ,0.72 ,0.62 ,0.67 ,0.40 ,0.30 ,0.35 ,0.56 ,0.49 ,0.53 
Klickitat,2016,25-34,862.49 ,877.63 ,1740.11 ,788.00 ,789.00 ,,1577.00 ,517.00 ,459.00 ,0.00 ,976.00 ,0.91 ,0.90 ,0.91 ,0.60 ,0.52 ,0.56 ,0.66 ,0.58 ,0.62 
Klickitat,2016,35-44,1132.43 ,1228.32 ,2360.76 ,952.00 ,922.00 ,,1874.00 ,735.00 ,650.00 ,0.00 ,1385.00 ,0.84 ,0.75 ,0.79 ,0.65 ,0.53 ,0.59 ,0.77 ,0.70 ,0.74 
Klickitat,2016,45-54,1343.86 ,1431.85 ,2775.71 ,993.00 ,1074.00 ,,2067.00 ,825.00 ,854.00 ,0.00 ,1679.00 ,0.74 ,0.75 ,0.74 ,0.61 ,0.60 ,0.60 ,0.83 ,0.80 ,0.81 
Klickitat,2016,55-64,1920.16 ,1825.09 ,3745.26 ,1669.00 ,1480.00 ,,3149.00 ,1460.00 ,1279.00 ,0.00 ,2739.00 ,0.87 ,0.81 ,0.84 ,0.76 ,0.70 ,0.73 ,0.87 ,0.86 ,0.87 
Klickitat,2016,65-,2495.32 ,2592.11 ,5087.42 ,2154.00 ,2246.00 ,,4400.00 ,1957.00 ,2044.00 ,0.00 ,4001.00 ,0.86 ,0.87 ,0.86 ,0.78 ,0.79 ,0.79 ,0.91 ,0.91 ,0.91 
Lewis,2016,0TOTAL,30140.81 ,30038.78 ,60179.59 ,24020.00 ,21994.00 ,10.00 ,46024.00 ,18780.00 ,16929.00 ,6.00 ,35715.00 ,0.80 ,0.73 ,0.76 ,0.62 ,0.56 ,0.59 ,0.78 ,0.77 ,0.78 
Lewis,2016,18-24,3061.89 ,3363.57 ,6425.45 ,1909.00 ,1892.00 ,2.00 ,3803.00 ,1045.00 ,944.00 ,1.00 ,1990.00 ,0.62 ,0.56 ,0.59 ,0.34 ,0.28 ,0.31 ,0.55 ,0.50 ,0.52 
Lewis,2016,25-34,4137.09 ,4432.62 ,8569.71 ,3248.00 ,2927.00 ,5.00 ,6180.00 ,1937.00 ,1692.00 ,2.00 ,3631.00 ,0.79 ,0.66 ,0.72 ,0.47 ,0.38 ,0.42 ,0.60 ,0.58 ,0.59 
Lewis,2016,35-44,4182.46 ,4253.37 ,8435.82 ,3158.00 ,2799.00 ,1.00 ,5958.00 ,2241.00 ,1938.00 ,1.00 ,4180.00 ,0.76 ,0.66 ,0.71 ,0.54 ,0.46 ,0.50 ,0.71 ,0.69 ,0.70 
Lewis,2016,45-54,4933.11 ,5023.95 ,9957.07 ,3640.00 ,3426.00 ,1.00 ,7067.00 ,2890.00 ,2681.00 ,1.00 ,5572.00 ,0.74 ,0.68 ,0.71 ,0.59 ,0.53 ,0.56 ,0.79 ,0.78 ,0.79 
Lewis,2016,55-64,5705.27 ,5519.57 ,11224.84 ,4935.00 ,4411.00 ,1.00 ,9347.00 ,4269.00 ,3746.00 ,1.00 ,8016.00 ,0.86 ,0.80 ,0.83 ,0.75 ,0.68 ,0.71 ,0.87 ,0.85 ,0.86 
Lewis,2016,65-,8120.99 ,7445.70 ,15566.70 ,7130.00 ,6539.00 ,,13669.00 ,6398.00 ,5928.00 ,0.00 ,12326.00 ,0.88 ,0.88 ,0.88 ,0.79 ,0.80 ,0.79 ,0.90 ,0.91 ,0.90 
Lincoln,2016,0TOTAL,4208.40 ,4206.80 ,8415.20 ,3531.00 ,3556.00 ,,7087.00 ,2997.00 ,2952.00 ,0.00 ,5949.00 ,0.84 ,0.85 ,0.84 ,0.71 ,0.70 ,0.71 ,0.85 ,0.83 ,0.84 
Lincoln,2016,18-24,352.75 ,370.32 ,723.07 ,225.00 ,249.00 ,,474.00 ,149.00 ,155.00 ,0.00 ,304.00 ,0.64 ,0.67 ,0.66 ,0.42 ,0.42 ,0.42 ,0.66 ,0.62 ,0.64 
Lincoln,2016,25-34,405.69 ,418.55 ,824.25 ,348.00 ,383.00 ,,731.00 ,233.00 ,220.00 ,0.00 ,453.00 ,0.86 ,0.92 ,0.89 ,0.57 ,0.53 ,0.55 ,0.67 ,0.57 ,0.62 
Lincoln,2016,35-44,483.68 ,493.13 ,976.82 ,479.00 ,455.00 ,,934.00 ,385.00 ,347.00 ,0.00 ,732.00 ,0.99 ,0.92 ,0.96 ,0.80 ,0.70 ,0.75 ,0.80 ,0.76 ,0.78 
Lincoln,2016,45-54,674.15 ,688.62 ,1362.76 ,513.00 ,511.00 ,,1024.00 ,430.00 ,431.00 ,0.00 ,861.00 ,0.76 ,0.74 ,0.75 ,0.64 ,0.63 ,0.63 ,0.84 ,0.84 ,0.84 
Lincoln,2016,55-64,936.73 ,925.25 ,1861.98 ,798.00 ,788.00 ,,1586.00 ,723.00 ,705.00 ,0.00 ,1428.00 ,0.85 ,0.85 ,0.85 ,0.77 ,0.76 ,0.77 ,0.91 ,0.89 ,0.90 
Lincoln,2016,65-,1355.39 ,1310.93 ,2666.33 ,1168.00 ,1170.00 ,,2338.00 ,1077.00 ,1094.00 ,0.00 ,2171.00 ,0.86 ,0.89 ,0.88 ,0.79 ,0.83 ,0.81 ,0.92 ,0.94 ,0.93 
Mason,2016,0TOTAL,24291.01 ,25938.95 ,50229.96 ,19521.00 ,18170.00 ,8.00 ,37699.00 ,15376.00 ,13994.00 ,6.00 ,29376.00 ,0.80 ,0.70 ,0.75 ,0.63 ,0.54 ,0.58 ,0.79 ,0.77 ,0.78 
Mason,2016,18-24,2226.89 ,2685.47 ,4912.36 ,1310.00 ,1401.00 ,2.00 ,2713.00 ,677.00 ,643.00 ,1.00 ,1321.00 ,0.59 ,0.52 ,0.55 ,0.30 ,0.24 ,0.27 ,0.52 ,0.46 ,0.49 
Mason,2016,25-34,3119.01 ,3838.21 ,6957.22 ,2243.00 ,2019.00 ,,4262.00 ,1307.00 ,1069.00 ,0.00 ,2376.00 ,0.72 ,0.53 ,0.61 ,0.42 ,0.28 ,0.34 ,0.58 ,0.53 ,0.56 
Mason,2016,35-44,3088.37 ,3690.76 ,6779.14 ,2248.00 ,2050.00 ,2.00 ,4300.00 ,1569.00 ,1368.00 ,2.00 ,2939.00 ,0.73 ,0.56 ,0.63 ,0.51 ,0.37 ,0.43 ,0.70 ,0.67 ,0.68 
Mason,2016,45-54,3742.00 ,4136.61 ,7878.61 ,2871.00 ,2642.00 ,,5513.00 ,2203.00 ,1992.00 ,0.00 ,4195.00 ,0.77 ,0.64 ,0.70 ,0.59 ,0.48 ,0.53 ,0.77 ,0.75 ,0.76 
Mason,2016,55-64,4914.31 ,4830.27 ,9744.58 ,4370.00 ,3961.00 ,2.00 ,8333.00 ,3767.00 ,3387.00 ,2.00 ,7156.00 ,0.89 ,0.82 ,0.86 ,0.77 ,0.70 ,0.73 ,0.86 ,0.86 ,0.86 
Mason,2016,65-,7200.42 ,6757.63 ,13958.05 ,6479.00 ,6097.00 ,2.00 ,12578.00 ,5853.00 ,5535.00 ,1.00 ,11389.00 ,0.90 ,0.90 ,0.90 ,0.81 ,0.82 ,0.82 ,0.90 ,0.91 ,0.91 
